"ubigeo","departamento","provincia","distrito","nro_emp_cenec_corr","ventas_tot_soles_cenec_corr","ventas_prom_soles_cenec_corr","nro_emp_rt","ventas_tot_rt","ventas_prom_rt","nro_emp_rt_acc","ventas_tot_rt_acc","ventas_prom_rt_acc","mto_desembolso_con_garantia_rcc","pct_rt_clf_normal_acc","mto_deuda_rt_rcc","mto_deuda_no_vigente_rt_rcc","n_univ_tot_transac","plin_univ_tot_transac","izipay_univ_tot_transac","n_univ_tot_transac_acc","plin_univ_tot_transac_acc","izipay_univ_tot_transac_acc"
"010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","676","4.939065728646184E8","730631.0249476604","22","752043.450","34183.793","19","723875.367","38098.704","177346.680000","0.8235294117647058","1310237.000000","458.360000","5606","6144120.780000","2673037.841","2079","3575745.430000","2033777.984"
"010102","AMAZONAS","CHACHAPOYAS","ASUNCION",,,,,,,,,,,,,,"10","0.000000","0.000","3","0.000000","0.000"
"010103","AMAZONAS","CHACHAPOYAS","BALSAS",,,,,,,,,,,,,,"39","329557.350000","0.000","11","0.000000","0.000"
"010104","AMAZONAS","CHACHAPOYAS","CHETO","2","594671.2128892471","297335.60644462355",,,,,,,,,,,"16","0.000000","0.000","8","0.000000","0.000"
"010105","AMAZONAS","CHACHAPOYAS","CHILIQUIN",,,,,,,,,,,,,,"16","0.000000","0.000","2","0.000000","0.000"
"010106","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA",,,,,,,,,,,,,,"41","0.000000","0.000","4","0.000000","0.000"
"010107","AMAZONAS","CHACHAPOYAS","GRANADA",,,,,,,,,,,,,,"19","32917.240000","0.000","6","0.000000","0.000"
"010108","AMAZONAS","CHACHAPOYAS","HUANCAS",,,,,,,,,,,,,,"25","0.000000","0.000","6","0.000000","0.000"
"010109","AMAZONAS","CHACHAPOYAS","LA JALCA","8","3620612.2036429187","452576.52545536484","1","191781.833","191781.833","1","191781.833","191781.833","0.000000","1.0","149583.960000","0.000000","143","66814.960000","0.000","63","62001.300000","0.000"
"010110","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA","18","8212996.622568018","456277.59014266764",,,,,,,,,,,"165","79401.510000","6588.772","51","73045.930000","6588.772"
"010111","AMAZONAS","CHACHAPOYAS","LEVANTO","2","455851.0285183493","227925.51425917464",,,,,,,,,,,"16","0.000000","0.000","6","0.000000","0.000"
"010112","AMAZONAS","CHACHAPOYAS","MAGDALENA","1","354258.09538331546","354258.09538331546",,,,,,,,,,,"37","0.000000","0.000","15","0.000000","0.000"
"010113","AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA","9","6434212.683317832","714912.520368648",,,,,,,,,,,"23","0.000000","0.000","6","0.000000","0.000"
"010114","AMAZONAS","CHACHAPOYAS","MOLINOPAMPA","12","4388321.84132546","365693.48677712167",,,,,,,,,,,"113","127503.220000","0.000","39","117516.740000","0.000"
"010115","AMAZONAS","CHACHAPOYAS","MONTEVIDEO",,,,,,,,,,,,,,"13","0.000000","0.000","3","0.000000","0.000"
"010116","AMAZONAS","CHACHAPOYAS","OLLEROS","1","765197.4860279612","765197.4860279612",,,,,,,,,,,"4","0.000000","0.000","3","0.000000","0.000"
"010117","AMAZONAS","CHACHAPOYAS","QUINJALCA",,,,,,,,,,,,,,"20","0.000000","0.000","3","0.000000","0.000"
"010118","AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE DAGUAS",,,,,,,,,,,,,,"17","0.000000","0.000","4","0.000000","0.000"
"010119","AMAZONAS","CHACHAPOYAS","SAN ISIDRO DE MAINO","1","240937.20701101338","240937.20701101338",,,,,,,,,,,"25","16749.800000","0.000","5","0.000000","0.000"
"010120","AMAZONAS","CHACHAPOYAS","SOLOCO",,,,,,,,,,,,,,"20","1955.500000","0.000","5","1955.500000","0.000"
"010121","AMAZONAS","CHACHAPOYAS","SONCHE",,,,,,,,,,,,,,"11","0.000000","0.000","2","0.000000","0.000"
"010201","AMAZONAS","BAGUA","BAGUA","297","2.503999365885474E8","843097.4295910688","10","492689.305","49268.931","10","492689.305","49268.931","44677.670000","0.75","2119948.180000","607362.570000","2403","2479096.070000","357242.613","884","1489082.050000","357242.613"
"010202","AMAZONAS","BAGUA","ARAMANGO","5","1684095.2865103595","336819.0573020719",,,,,,,,,,,"205","13179.200000","153.333","56","388.500000","153.333"
"010203","AMAZONAS","BAGUA","COPALLIN","9","3403485.02772693","378165.00308077",,,,,,,,,,,"102","3060.000000","0.000","30","3029.000000","0.000"
"010204","AMAZONAS","BAGUA","EL PARCO",,,,,,,,,,,,,,"25","0.000000","0.000","6","0.000000","0.000"
