numeroruc,canal,grupo_propension_cartera,prioridad,experimento,rol_experimento,grupo_gestion_asignado,score_propension
F141E87DDC94B4BD141DD783ECF5EF3BBA941C51F44830631C9D6D3EA66FAE4E,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.7122396214120974
41EA7FFF69981754E8678D50FB54B845ED1DCA2E6F9E5AC074BEBAC7EEF7925E,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6949361434032982
20F8F36E5605E7288B3C9779CDBC3BA19BAF27EF3293088F976C25B41746D13C,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6947319909200225
C00BB753F80ED8969F43754E0964C5DBD65533965F12D174DEBDDB2F3C74B96D,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6905007991676028
53B709AD5F033A9BD74ED43B00EAFE52574A9638F2F736BA5DA918EAA5876F8F,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6844815056989456
5B09E8224CDA5680EB6B8751D6F94204FECF3CB10EED9EE408B8A0816ADF6C59,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6817396073084206
0B97A00916C3824C873C34AE01BC85CDF5DE0871CCE333F92B3C78D637AACFB4,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6775786450464122
201249EA5FB0696405C6AF43AFB804F9F85DF399E8E807B643766EB58EE5D180,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6708886839595781
7AFAB051F0CFA8CB3697025FE8D42855295B2908C8761894C8816DC33133E1E8,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.670066306230479
17FFAC765A2BBF246E7B934824F0A6FFD88B7A9644E4337AAD8CC18E7137514A,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6681300538027413
BF0BE8222FBF53EFFA4F895615F75065BBBC31C79D323D70486C7E798F0BF173,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6638734631846539
E882FF69E4B5ECFE662230649AC770D8BEC42007126799E0413129E5F0524FE2,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6597807806686535
03049511B0B546DA7EE5C8C3BC48F783067C842EDF56C51F66B22F8D7D84E7D1,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6596110752236172
FD098CDDE8DE8F740C952248084DA9CD3DFB2FA44476469E44AA061D4646F43E,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.658393807220408
B1810CB1EB598896E93AA5DAED94A477AE0DC1BF7CDAC1CA48269A10A4F3B94C,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6573185863468886
51B10EC0F6DCE06394110B6AA536EF48EAAB8CB74A0D7D056285274DCB06F53C,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6558460321414606
D8F2915CE52773252B443F56733B883BF8DA1DDFF98B8969FBA6425AF352D6D4,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6549620241872629
26363F194C69E491160C180C2D7F0617FFA397757B3ACF5DFCCA42A683FA9357,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6548864188531206
7A083C8C739A30F9BAC2A77AC05FCF36D6EBED360C6626BAD2BB784F6D406F85,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.653230402292911
D9B6124D6C682ED681B9ECA0F48CC5AA30DD62FFBE915BBEED181319DADC01FF,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6511125491772701
691C9A750683A5D55B24464238C2073858121DC3ADD39B7DACF05A9E5CD8616C,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6506733512792562
338E8C62D1FC8468E06FA058A2633905C1EDCB55B77F590E7A2B75F532D554AA,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.650457998117652
5984A9798669BF921F417BF5C6D7158BD621CBF12F8D0C7585516C31D65179BC,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6498934508969746
B4B78C2E68D53C10C7E88243FBAE7EF55298A8E10A63A508AC9B080EFB83BE69,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6495914526119906
406976F54FDA83AA84309A880022E20F4027DA09875107AA56E69A38256634E5,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6491014487093772
0150FFBEE3C3703075A6C495D748A58D366325A4C9BA5E1575C2AAE78C426AF5,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6478072312768068
BB14FDD1865E647D3FBE5997FCBEE2BA5B6A231546E0906AE42B98548CB902D9,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6461527006110798
FBF19C88A5B5D3BC0D740684F6B4ACE1043B07819F99F1BBE551A56B5C525C4D,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6459248787644613
224A4DFACC00577DAEEE369DEEECDA7CE175DD640AB22D551E3D9B59479701CC,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6458435758658446
816ADB081EB8B96347B459A207DAB9A1831C92DF8D2A47AC6E85E3ED98266F2B,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6456313464398397
F966B679014D1F04D373A81F5BE60097FEE2127F66C1DCF8E88F444518846FD4,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6455734411844751
CB780C8E1CFF2069D248770DCC72C05704BE0C3EDC5523370351864CBE6D4573,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6448104200525019
115C18A5527EE6DABF8B66642E4F687778913C876B4FA668CC2FB9D8C42CA8CE,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.64429747328939
F49F31B054F003F1FF237B90176ADA14009EC823700B4BC81B7358275705A5B6,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6440192843205373
C8F17F186767885358D6219043C4E1B2C2857AF7C710D32E1B26D287B98D44E3,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6436469647472028
0C12DF2C8A91B8F7F8F85538F9653990C06928C9B61CAD53EE74C0007461E5EA,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6425759015211888
B7ED5E21906191E0F98F8B75F37E1F47123471EE29271225559AF64F1FAB69DE,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6415899877573533
DD0EDA8DFB67CCB4C660B3A2E44DA34CF0E197E3D5230E4423A68308037B11FF,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6411058706931146
EB61A91F87F299C4DBE1BC7D5B29CD0C44975692899F423C47BDDFB1FE599393,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6402928181262544
FE9379B226AB313429D8F849831AE18AA7F9BFD674680487C728FD89FADD92FC,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6399830009816075
08C19FFF86589FE92A84176CACB48374CD34EE303F00F0874D0E6ACCB5612DFD,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6399028990692446
59D4B9413C2E341B5D054ACBB8285C29D9B173835617A89A31F20D5E475BB720,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6392240102083068
1F1B9202AF288C74108C3356ACBB2451CDFFB9796114980CA1D0ADDE61F87DCA,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6387956134545637
9DC805A866A8FD9B05F85A3FB9ACBA12DF8ED4E5D312A8F83EF3348673AC0A9F,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6382684101088668
C904937D21F4378263B0E98E6BA930D68648888A8BDDD67CE5B9BFF7B9B395D3,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6379792307845089
FD26B01AEAB6A493DEF804B67715FE1C405E80780D6EA9F876DB93E4906D2D7B,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6362408297080806
954AB6D8510518E815B5C511FCB7CA80AA40B5301A7487F499F99B6C6DB85868,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6352453519021342
126F7C70F22B199A477753B94E42672CF6AFF79C38AB96F2FAD6420BCF0B2C93,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6351027156961845
A22A144B951A569D28D43B4DFE88CD9B1EC06914A5A2FAF88E11C3E47E6C66CF,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6340880615346942
