numeroruc,canal,grupo_propension_cartera,prioridad,experimento,rol_experimento,grupo_gestion_asignado,score_propension
F141E87DDC94B4BD141DD783ECF5EF3BBA941C51F44830631C9D6D3EA66FAE4E,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.7122396214120974
41EA7FFF69981754E8678D50FB54B845ED1DCA2E6F9E5AC074BEBAC7EEF7925E,VIRTUAL,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6949361434032982
20F8F36E5605E7288B3C9779CDBC3BA19BAF27EF3293088F976C25B41746D13C,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6947319909200225
C00BB753F80ED8969F43754E0964C5DBD65533965F12D174DEBDDB2F3C74B96D,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6905007991676028
53B709AD5F033A9BD74ED43B00EAFE52574A9638F2F736BA5DA918EAA5876F8F,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6844815056989456
5B09E8224CDA5680EB6B8751D6F94204FECF3CB10EED9EE408B8A0816ADF6C59,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6817396073084206
0B97A00916C3824C873C34AE01BC85CDF5DE0871CCE333F92B3C78D637AACFB4,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6775786450464122
201249EA5FB0696405C6AF43AFB804F9F85DF399E8E807B643766EB58EE5D180,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6708886839595781
7AFAB051F0CFA8CB3697025FE8D42855295B2908C8761894C8816DC33133E1E8,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.670066306230479
17FFAC765A2BBF246E7B934824F0A6FFD88B7A9644E4337AAD8CC18E7137514A,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6681300538027413
BF0BE8222FBF53EFFA4F895615F75065BBBC31C79D323D70486C7E798F0BF173,VIRTUAL,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6638734631846539
E882FF69E4B5ECFE662230649AC770D8BEC42007126799E0413129E5F0524FE2,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6597807806686535
03049511B0B546DA7EE5C8C3BC48F783067C842EDF56C51F66B22F8D7D84E7D1,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6596110752236172
FD098CDDE8DE8F740C952248084DA9CD3DFB2FA44476469E44AA061D4646F43E,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.658393807220408
B1810CB1EB598896E93AA5DAED94A477AE0DC1BF7CDAC1CA48269A10A4F3B94C,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6573185863468886
51B10EC0F6DCE06394110B6AA536EF48EAAB8CB74A0D7D056285274DCB06F53C,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6558460321414606
D8F2915CE52773252B443F56733B883BF8DA1DDFF98B8969FBA6425AF352D6D4,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6549620241872629
26363F194C69E491160C180C2D7F0617FFA397757B3ACF5DFCCA42A683FA9357,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6548864188531206
